wikidata	orcid	alexid	author_name	author_raw_name	role	department	active	notes
NULL	NULL	https://openalex.org/A5040438007	Antônio José Piantino Ferreira	Antonio J. Ferreira	NULL	NULL	2	NULL
NULL	https://orcid.org/0009-0002-8129-6167	https://openalex.org/A5078955584	Antony S. Harold	A. S. Harold	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5040983552	Ashley A. Dineen	Ashley A. Dineen	Postdoc	Invertebrate Zoology & Geology	0	NULL
NULL	NULL	https://openalex.org/A5065576286	Athena Lam	Athena Lam	Director	CCG	1	NULL
NULL	NULL	https://openalex.org/A5059987182	B. Duell	B. Duell	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5007057181	B.Randall Melton	Brenda Melton	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5089906496	Barbara B. DeWolfe	Barbara B. DeWolfe	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5012576968	Barry Roth	Barry Roth	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-8918-1551	https://openalex.org/A5003436042	Bart Shepherd	Bart Shepherd	Director	Aquarium	2	NULL
NULL	NULL	https://openalex.org/A5074520625	Barton Warren Evermann	Barton Warren Evermann	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5047235524	Ben W. Papermaster	Ben W. Papermaster	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5090129415	Benoı̂t Dayrat	Benoît Dayrat	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5023482526	Bethany B. Moore	Beth Moore	NULL	NULL	2	overmerged profile. submitted request 4/8/24
NULL	NULL	https://openalex.org/A5014041637	Blake Edgar	Blake Edgar	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5083057919	Boni C. Cruz	Boni C. Cruz	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-8961-9998	https://openalex.org/A5047747160	Bonnie B. Blaimer	Bonnie B. Blaimer	Research Associate	Entomology	2	NULL
NULL	NULL	https://openalex.org/A5005533164	Brenna Green	Brenna Green	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5080295402	Brett C. Stearns	Brett C. Stearns	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5029324319	Brett D. Mensh	Brett Mensh	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5016328993	Brian E. Heterick	Brian E Heterick	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-4653-3270	https://openalex.org/A5030257367	Brian L. Fisher	Brian L. Fisher	Curator	Entomology	1	NULL
NULL	https://orcid.org/0000-0002-6810-8435	https://openalex.org/A5024466635	Brian W. Bowen	Brian W. Bowen	Research Associate	Icthyology	2	think this is correct but not sure. double check
NULL	https://orcid.org/0000-0002-2267-3754	https://openalex.org/A5002647751	Bruce Alberts	Bruce Alberts	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5044387661	Bruce Bartholomew	Bruce Bartholomew	Fellow	Botany	1	NULL
NULL	NULL	https://openalex.org/A5001379735	Bruno David	Bruno David	NULL	NULL	2	overmerged. one of them did echino research with Rich. not the same as anthro research of other Bruno in profile
NULL	NULL	https://openalex.org/A5071510096	Bruno Lomonte	Bruno Lomonte	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5056252359	Bryson Voirin	Bryson Voirin	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5084474878	C. Andrews	C. Andrews	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5025216071	C. Binford Laurence	C. Binford Laurence	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5040686881	C. George Kuo	Camille Kuo	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5039800290	C. Rose Broome	C. Rose Broome	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-4110-1249	https://openalex.org/A5074375774	Caio Ribeiro Pimentel	Caio R. Pimentel	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-9424-4097	https://openalex.org/A5074349356	Caitlyn Rich	Caitlyn Rich	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-5575-8263	https://openalex.org/A5046568718	Camilla Souto	Camilla Souto	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5081293603	Camille F. Nowell	Camille F. Nowell	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5022035066	Candice Meldrum	Candice Meldrum	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5057488859	Carissa Roseanna Shipman	Carissa Shipman	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5090082937	Carl J. Ferraris	Carl J. Ferraris	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5027595018	Carol M. Tang	Carol M. Tang	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-8990-8597	https://openalex.org/A5066411095	Caroline Dubé	Caroline E Dubé	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5047186338	Carolyn D. Rathbun	C. D. Rathbun	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-2979-6589	https://openalex.org/A5055130348	Carrie E. Seltzer	Carrie Seltzer	Engagement Specialist	iNaturalist	1	NULL
NULL	NULL	https://openalex.org/A5055253317	Catherine Julien	Catherine Julien	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5074271118	Catherine W. Mecklenburg	Catherine W. Mecklenburg	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5028228486	Chancey MacDonald	Chancey MacDonald	NULL	Ichthyology	1	NULL
NULL	NULL	https://openalex.org/A5037419217	Changming Yin	Chang-Ming Yin	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-8747-1101	https://openalex.org/A5013057116	Charles C. Davis	Charles C. Davis	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-2036-6750	https://openalex.org/A5082751647	Charles D. Bell	Charles D. Bell	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5019278855	Charles D. Michener	Charles D. Michener	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5003714500	Charles E. Griswold	Charles E. Griswold	Emeritus	Entomology	1	NULL
NULL	NULL	https://openalex.org/A5069527315	Charles E. Reed	C.E. Reed	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-5462-0086	https://openalex.org/A5065925056	Christine E. Wilkinson	Christine E. Wilkinson	NULL	NULL	2	request submitted 2/26/24
NULL	NULL	https://openalex.org/A5004914692	Cheryl Vanderbilt	Cheryl Vanderbilt	NULL	Planetarium	1	NULL
NULL	https://orcid.org/0000-0003-2428-272X	https://openalex.org/A5038080397	Chris Andrews	Chris Andrews	NULL	NULL	2	overmerged. fellow for aquarium planning but also a research ass for ento?
NULL	NULL	https://openalex.org/A5078656327	Chris Wemmer	Chris Wemmer	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5085898853	Christina J. Slager	Christina Joie Slager	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-1655-4097	https://openalex.org/A5016070320	Christina Piotrowski	Christina Piotrowski	Collections Manager	Invertebrate Zoology & Geology	1	NULL
NULL	https://orcid.org/0000-0002-9728-3670	https://openalex.org/A5010509888	Christine Garcia	Christine Garcia	Research Associate	Invertebrate Zoology & Geology	1	NULL
NULL	https://orcid.org/0000-0002-2631-1021	https://openalex.org/A5081418680	Christine L. Huffard	Christine L. Huffard	Research Associate	NULL	1	NULL
NULL	https://orcid.org/0000-0002-3769-1664	https://openalex.org/A5057926695	Christopher C. Grinter	Christopher C. Grinter	Collections Manager	Entomology	1	NULL
NULL	NULL	https://openalex.org/A5031931817	Christopher J. Raxworthy	Christopher J. Raxworthy	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-0178-8237	https://openalex.org/A5014273324	Christopher L. Mah	Christopher L. Mah	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-8069-6535	https://openalex.org/A5030223436	Claudia R. Rocha	C. Rocha	Lab Manager	Microbiology	1	NULL
NULL	NULL	https://openalex.org/A5081621021	Clea Matson	Clea Matson	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5004613752	Clifford Ray Johnson	Clifford R. Johnson	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5082911418	Clive K. Catchpole	Clive K. Catchpole	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5013195452	Cornelius B. Philip	C.B. Philip	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5002644512	Corrie Saux	Corrie Saux	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5077223530	Cristina Castillo	Cristina Castillo	NULL	NULL	2	overmerged
NULL	NULL	https://openalex.org/A5004750161	Curtis J. Chinn	Curtis J. Chinn	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5039898898	Cynthia M. Morton	Cynthia M. Morton	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-2264-4523	https://openalex.org/A5012439545	D. C. F. Rentz	David C. F. Rentz	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5076358840	D. J. Feener	D. J. Feener	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5079498833	D. John Faulkner	DJ Faulkner	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5041591531	D.A. Carrison	D.A. Carrison	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5057585932	Daniel H. Norris	Daniel H. Norris	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5007127465	Daniel Harder	D.K. Harder	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-3518-7277	https://openalex.org/A5081119038	Daniel M. Portik	Daniel M. Portik	Research Associate	CCG	1	NULL
NULL	NULL	https://openalex.org/A5090771282	Daniela M. Durkin	Daniela M. Durkin	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-1069-1808	https://openalex.org/A5074660992	Daniele Polotow	Daniele Polotow	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5061549399	Daphne G. Fautin	Daphne Gail Fautin	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-0727-2829	https://openalex.org/A5034019669	Darin S. Penneys	Darin S. Penneys	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-1739-5830	https://openalex.org/A5057414926	Darko D. Cotoras	Darko D. Cotoras	Research Associate	Entomology	1	NULL
NULL	NULL	https://openalex.org/A5052467785	Darrell Ubick	Darrell Ubick	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5013990107	Dave Catania	Dave Catania	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-4604-8192	https://openalex.org/A5018184500	David A. Ebert	D A Ebert	Research Associate	Ichthyology	1	NULL
NULL	NULL	https://openalex.org/A5021034747	David A. Neely	David A. Neely	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-0560-284X	https://openalex.org/A5075243549	David B. Catania	David B. Catania	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5037555325	David B. Richman	David B. Richman	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-4840-6734	https://openalex.org/A5016158903	David B. Weissman	David B Weissman	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5003673689	David Bettman	David Bettman	Curatorial Assistant	Entomology	1	NULL
NULL	https://orcid.org/0000-0002-1810-9886	https://openalex.org/A5051961764	David C. Blackburn	David C. Blackburn	Research Associate	Herpetology	1	NULL
NULL	NULL	https://openalex.org/A5022554864	David C. Powell	David C. Powell	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-0816-0124	https://openalex.org/A5087261803	David G. Long	David G. Long	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5057037639	David H. Kavanaugh	David H. Kavanaugh	Emeritus	Entomology	1	NULL
NULL	NULL	https://openalex.org/A5080230973	David J. Morafka	D.J. Morafka	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5068161336	David J. Williams	David Williams	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-7336-3334	https://openalex.org/A5036224704	David L. Wagner	David L. Wagner	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5061477816	David McGuire	David McGuire	NULL	NULL	2	overmerged
NULL	NULL	https://openalex.org/A5012589756	David Oldroyd	David Oldroyd	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5075756241	David P. Adam	David P. Adam	NULL	NULL	2	overmerged
NULL	NULL	https://openalex.org/A5011870780	David P. Mindell	David P. Mindell	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-4183-2263	https://openalex.org/A5088317088	David R. Lindberg	David R. Lindberg	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5077304560	David R. Toren	DAVID R. TOREN	Research Associate	Botany	1	NULL
NULL	https://orcid.org/0000-0002-6794-7851	https://openalex.org/A5057783899	David Rivers	David B. Rivers	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5027628648	David W. Greenfield	Greenfield, David W.	Research Associate	Ichthyology	1	NULL
NULL	NULL	https://openalex.org/A5053349135	Dawn E. Peterson	Dawn E. Peterson	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5056512244	Debra K Trock	Debra K. Trock	Research Associate	Botany	1	NULL
NULL	NULL	https://openalex.org/A5004717391	Debra L. Koutnik	Debra L. Koutnik	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5015124686	Deise Cruz	Deise Cruz	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-0783-1002	https://openalex.org/A5039615419	Denise J. Greig	Denise Greig	Research Associate	O&M	1	NULL
NULL	NULL	https://openalex.org/A5031616193	Dennis E. Breedlove	D. E. Breedlove	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-0421-6437	https://openalex.org/A5014389817	Diana Gamba	Diana Gamba	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-7371-099X	https://openalex.org/A5070835188	Diana Silva-Dávila	Diana Silva-Dávila	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5027421182	Didier Marchand	Didier Marchand	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5047271036	Dimitri Smirnoff	Dimitri Smirnoff	Research Associate	Invertebrate Zoology & Geology	1	NULL
NULL	NULL	https://openalex.org/A5045012947	DJ Long	DJ Long	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5020169637	Dorothy K. Washburn	Dorothy K. Washburn	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5032808829	Douglas A. Bell	Douglas A. Bell	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-6816-8040	https://openalex.org/A5062253836	Douglas J. Long	Douglas J. Long	Research Associate	Ichthyology	1	NULL
NULL	NULL	https://openalex.org/A5042871049	Durrell D. Kapan	Durrell D. Kapan	Research Scientist	NULL	1	NULL
NULL	NULL	https://openalex.org/A5056018970	Dylan O. Bürge	Dylan O. Burge	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5078569508	E. E. Miller	Edward E. Miller	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5005310764	E. P. Van Duzee	Edward P. Van Duzee	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5025334932	Earl S. Herald	Earl S. Herald	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5062458528	Eden Maloney	Eden Maloney	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5035098556	Edgar Orozco	Edgar Orozco	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-5369-6329	https://openalex.org/A5067388483	Edward A. Myers	Edward  A. Myers	Research Scientist	NULL	1	NULL
NULL	https://orcid.org/0000-0001-5257-037X	https://openalex.org/A5070552206	Edward L. Stanley	Edward L. Stanley	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5062498358	Edward Laidlaw Smith	Edward Laidlaw Smith	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5052239102	Edward S. Ross	Edward S. Ross	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5076412127	Eleanor Visser	Eleanor Visser	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5089883773	Eleonora Peter	Peter E	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5072224638	Elisabeth Fourtanier	Elizabeth Fourtanier	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5057621074	Elizabeth A. Babcock	Elizabeth Babcock	NULL	NULL	2	overmerged
NULL	https://orcid.org/0000-0001-6732-565X	https://openalex.org/A5059420211	Elizabeth J. Carlen	Elizabeth J. Carlen	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5029183919	Elizabeth J. Moore	Elizabeth J. Moore	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5083997533	Elizabeth Morrill	Elizabeth Morrill	Graduate Student	Entomology	1	NULL
NULL	NULL	https://openalex.org/A5065472859	Elizabeth Selna	Elizabeth Selna	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5043146367	Elkan J. Morris	Elkan J. Morris	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-1054-7491	https://openalex.org/A5002065439	Elliott Smeds	ELLIOTT A. SMEDS	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-0338-0892	https://openalex.org/A5069601950	Elora H. López-Nandam	Elora H. López-Nandam	Research Scientist	Coral Regeneration Lab	1	NULL
NULL	NULL	https://openalex.org/A5040726739	Emily Magnaghi	Emily B. Magnaghi	Collections Manager	Botany	1	NULL
NULL	NULL	https://openalex.org/A5028696897	Emma Chu	Emma Chu	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5070099251	Eric B. Peterson	Eric B. Peterson	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5033898834	Eric Garcia	Eric Garcia	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-2457-0190	https://openalex.org/A5044510477	Erica J. Ely	Erica J. Ely	Curatorial Assistant	Herpetology	1	NULL
NULL	NULL	https://openalex.org/A5003763303	Erik Neff	E. E. Neff	NULL	NULL	2	overmerged. submitted 4/8/24
NULL	NULL	https://openalex.org/A5019923430	Erika L. Garcia	Erika L Garcia	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5006835064	Eugene V. Coan	Eugene V. Coan	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5072729256	Eva Salas	Eva Salas	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5060603394	Evan W. Thomas	E. W. Thomas	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5027760913	Eve Roman	E. D. Román	NULL	NULL	2	overmerged. submitted 4/8/24
NULL	NULL	https://openalex.org/A5012968016	F.X. Williams	Francis X. Williams	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-7348-143X	https://openalex.org/A5044415063	Fabián A. Michelangeli	Fabián A. Michelangeli	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-9413-1949	https://openalex.org/A5021061251	Facundo M. Labarque	Facundo Martín Labarque	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-5210-144X	https://openalex.org/A5049537746	Fernando Álvarez-Padilla	Fernando Alvarez-Padilla	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-6613-1343	https://openalex.org/A5064170894	Flávia A. Esteves	Flavia A. Esteves	Postdoc	Entomology	1	NULL
NULL	NULL	https://openalex.org/A5008861864	Francie H. Chu	Francie H. Chu	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5087958031	Francis J. Schmitz	Francis J. Schmitz	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5088251366	Francis X. Glennon	Francis X. Glennon	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0003-4709-3083	https://openalex.org/A5046323804	Francisco Hita Garcia	Francisco Hita Garcia	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5018260650	Frank Al	Frank Al	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-5091-6875	https://openalex.org/A5048353815	Frank Almeda	Frank. Almeda	Emeritus	Botany	1	NULL
NULL	NULL	https://openalex.org/A5027870601	Frank Cipriano	Frank Cipriano	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5075222507	Frank Collins Baker	Frank C. Baker	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5030308925	Frank E. Blaisdell	Frank E. Blaisdell	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5023937925	Frank Mace MacFarland	F. M. Macfarland	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5046139341	FrankE. Blaisdell	FrankE. Blaisdell	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0001-5683-4985	https://openalex.org/A5077725591	Franklyn Cala-Riquelme	Franklyn Cala-Riquelme	Postdoc	Entomology	1	NULL
NULL	https://orcid.org/0009-0005-6772-3603	https://openalex.org/A5067310118	Fred Funk	Fred Funk	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5065359166	Fredric Frye	Fredric L. Frye	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5067432614	Freeland Dunker	Freeland Dunker	Veterinarian	Aquarium	1	NULL
NULL	NULL	https://openalex.org/A5036159120	G. C. Farrington	Gregory C. Farrington	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5002412948	G. Duell	G. Duell	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5035379278	G. Ross Lindsay	George Lindsay	NULL	NULL	2	NULL
NULL	https://orcid.org/0000-0002-8792-7719	https://openalex.org/A5082963672	Gabriela P. Camacho	Gabriela P. Camacho	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5016332945	Gabriella Garcia	Gabriella Garcia	NULL	NULL	2	NULL
NULL	NULL	https://openalex.org/A5081507688	Galen B. Rathbun	Galen B. Rathbun	NULL	NULL	2	NULL
